#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
105,Zimbabwe,"253,236",,"5,509 ",,"244,947",,"2,780",12,"16,575",361,"2,343,260","153,372","15,278,268 ",Africa,"602,7737",,,182
106,Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,268","1,662","4,248,188","6,580,961","645,527 ",Europe,36020,,,"11,107"
107,Uzbekistan,"239,092",,"1,637 ",,"237,314",,141,23,"6,950",48,"1,377,915","40,055","34,400,358 ",Asia,"14421,01425",,,4
108,Montenegro,"237,486",,"2,720 ",,"234,256",,510,6,"378,031","4,330","2,479,104","3,946,242","628,219 ",Europe,32310,,,812
109,Mozambique,"225,933",,"2,203 ",,"223,464",,266,13,"6,860",67,"1,330,309","40,391","32,935,964 ",Africa,"14614,95125",,,8
110,Laos,"210,081",+12,756 ,,N/A,N/A,N/A,,"28,092",101,"1,233,207","164,906","7,478,230 ",Asia,"369,8926",2,,"26,967"
111,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,862",444,"1,907,195","283,353","6,730,819 ",Asia,"332,2504",,,237
112,Iceland,"188,924",,153 ,,N/A,N/A,N/A,,"546,823",443,"1,948,022","5,638,367","345,494 ",Europe,"22,2580",,,"327,317"
113,Afghanistan,"180,615",,"7,708 ",,"163,215",,"9,692","1,124","4,447",190,"971,529","23,923","40,611,062 ",Asia,"2255,26942",,,239
114,Maldives,"179,753",,299 ,,"163,687",,"15,767",25,"321,666",535,"2,213,831","3,961,624","558,819 ",Asia,"31,8690",,,"28,215"
115,Martinique,"175,958",,941 ,,104,,"174,913",8,"469,589","2,511","828,928","2,212,209","374,706 ",North America,23980,,,"466,801"
